,MA,AL,AR,DE,IL,ME,MO,WV,HI,NM,CA,CO,CT,WA,AK,OH,MN,MD,LA,NV,NC,NJ,NY,KY,KS,MI,OR
2021-02-19,13.256179571307937,10.70000000000014,13.098217490580776,14.194995141948835,13.255835407580372,13.400780932559158,12.735380900669865,13.335526069002599,13.340781720054004,13.17127579822136,13.25894233124976,13.487890944168964,12.942704579930735,13.225738672308037,13.8966044759987,12.469558395551735,13.570109582431739,13.269029640082977,13.016412036354684,12.049538663645816,12.380735813838132,14.137046255437454,13.267666580855034,13.472182562060468,12.601662148776658,13.405294437493401,13.062632769220242
2021-02-20,13.55617957130794,10.900000000000144,13.421253435485502,14.624661734848223,13.573689826591327,13.710809552389929,13.02998983925401,13.64656338047516,13.65747084559631,13.516475146313285,13.557049702084077,13.724834664696823,13.217838170561713,13.432499820097739,14.257573524672237,12.808958867053454,13.936088456391685,13.61550474937254,13.203308707732834,12.222548808681859,12.667578628368314,14.536668096696832,13.634447375875553,13.818591354235352,12.912712144645733,13.793984871518044,13.380941231031276
2021-02-21,14.014921119864878,11.000000000000146,13.687924752072048,15.001502654913253,13.853299088844123,14.150225345713155,13.31024182130369,13.91851506832618,13.952057886334137,13.804883732620631,13.795630906726025,13.933387301474527,13.411586368727383,13.712503249392444,14.549562087916039,13.111355912087019,14.24621223060405,13.980926515961762,13.442412159756936,12.445173134033412,12.928162734028005,14.715320354033675,13.926110685666817,14.110376661501636,13.182709779916587,14.126357348067664,13.645508453040126
2021-02-22,14.373662668421817,11.100000000000147,13.862483092501408,15.255725160110675,14.05533073468332,14.50796727592951,13.42459877783817,14.085126837847605,14.178679410343088,13.991224487906049,13.996126205067455,14.126410780132366,13.59130959981069,13.925806798467843,14.787655412790988,13.278797562075706,14.48749371545512,14.264027660490472,13.59020537911099,12.521069058878652,13.125623405270973,15.02301857610538,14.183927841481157,14.285426491180365,13.374287260211007,14.445539933573384,13.823752683045766
2021-02-23,14.632404216978754,11.100000000000149,13.966365372215874,15.429258672522982,14.176544347256439,14.793728776191601,13.451840251617822,14.211368199704868,14.29655075391192,14.097425873239704,14.095395277218865,14.247497927827409,13.752665107640908,14.079206576828017,14.907580903316742,13.385711811857476,14.650215183001984,14.473650789676835,13.668481461746827,12.590452086737276,13.266488669963303,15.2223233485328,14.308760255597068,14.419737075768158,13.513319630752186,14.603027968847208,13.932454305391895
2021-02-24,14.746157034126444,11.400000000000151,14.19388341620076,15.741836349741495,14.405917542003547,14.930995211353443,13.620680155711609,14.417226372107818,14.517381607307264,14.310102420714022,14.275601378440346,14.396024184071196,13.926453820155636,14.248408346984142,15.160934239281556,13.612591040559579,14.830831244879924,14.614692642847645,13.959791694416877,12.800140314210008,13.51118694696719,15.582291147124877,14.525469521612557,14.639090733291042,13.733608287526314,14.84971936637156,14.159740831759144
2021-02-25,14.946157034126447,11.600000000000154,14.477988348219279,16.124803917633418,14.704344745929074,15.163772791910732,13.876635542560216,14.68084701039257,14.805923408813475,14.579544081074438,14.597874706902957,14.623887959042548,14.220202018321304,14.535786631643896,15.503752329414036,13.847824214831133,15.11349936513588,14.891091186339773,14.077102050489158,13.056540123182586,13.772848647201418,15.905029344933201,14.850108788295165,14.897890282826486,13.987149353309642,15.202878003002334,14.422031287542296
2021-02-26,15.359909851274141,12.00000000000016,14.841197539119255,16.553677702663325,15.066218609781282,15.589488691652036,14.159832403188473,15.086815051290028,15.207146039834955,15.009466847890076,14.90556453437376,14.989272356804745,14.573960846200942,14.91339996816723,15.986939126715834,14.332966848313474,15.499675310236599,15.261011975602328,14.690136200523375,13.276559187246248,14.23811604801242,16.33232411884699,15.217251858682303,15.285926759298457,14.395494035418563,15.586262244820576,14.81046760697798
2021-02-27,15.859909851274143,12.400000000000166,15.278054994978907,17.033594357796247,15.503757457582761,16.028691541049007,14.444501703106026,15.523657677171071,15.710081052832718,15.50501713885382,15.329753545418054,15.46218778999661,14.898580371288366,15.252103075178855,16.515341788343736,14.766418286396464,15.953152712721447,15.67182846906398,15.33351485666407,13.556733860676799,14.605191023087164,16.805641792263287,15.709075517008287,15.704099861646014,14.79828652737271,16.077188450570127,15.263924316960038
2021-02-28,16.304898582683396,12.900000000000169,15.659509733702876,17.49094664088272,15.916530148388139,16.53860167487547,14.582181511293582,15.955787129832341,16.139241244491586,15.90039888503265,15.662714693431798,15.851269676403032,15.29812707084113,15.70102504399398,17.0282465965937,15.38427339978621,16.410572954986325,16.118246859823298,15.794342226052342,13.90532009354545,15.112086751204352,17.300307208342733,16.1254700197283,16.102860572784646,15.232044559019142,16.54237278645985,15.689977352444002
