,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
2021-02-19,22.288842275588266,21.72673193864249,21.066954532431176,22.262974808043527,22.131387317981645,21.280091504544913,22.26244906444949,20.80232106143944,20.577454686304403,20.745206456840382,21.632004145149867,22.02453436642403,20.64872253075609,22.78764920204427,24.003528160602144,23.008636023713535,20.728947941380728,22.44372095186505,19.076021945816763,20.368013586031704,22.27011817020229,21.173849333693568,21.796746535164594,22.56318642779914,21.206895783555627,21.726224398522085,22.002993781916945
2021-02-20,22.907459108787666,22.220119813726754,21.51186970045229,22.6320995507617,22.62612620116813,21.790623281474637,22.740084685587483,21.334963653808302,21.05439401769052,21.154560001145924,22.20624529989454,22.37888354346164,21.091142808250908,23.23442966193127,24.638941871688477,23.577315764217243,21.201019906872425,23.027127945762416,19.487529232721567,20.77515455910475,22.546721354947955,21.696047046877418,22.218591682402337,23.030378243681998,21.692649274391066,22.300025048636925,22.520983504559567
2021-02-21,23.547712151145905,22.619505125942183,21.898898675259392,22.999655003686886,23.06263926147649,22.26813917355494,23.19434051803926,21.71700808587792,21.471058349510944,21.49229569422495,22.63369904888584,22.67415933776954,21.503320186274696,23.736597514279897,24.948658123515187,24.120614641309903,21.54627327776108,23.4528527635858,19.8108749143154,20.997256707263663,22.792770985587907,22.081546180831698,22.597779028903666,23.438751723481634,22.134075102434004,22.923303030426826,22.91652161796791
2021-02-22,24.139042152974636,23.090634757118465,22.131525811903185,23.774119317933962,23.413618471865583,22.57472102880587,23.745215608648014,22.027077035027194,21.77398235720341,21.745822974122657,23.07237451982903,23.19998225362643,21.87140691758043,24.625052817412282,25.17525196621161,24.74800812299532,21.824917099156487,23.793878239602286,20.00832938132312,21.19854905609032,23.367048778215906,22.40630790340893,22.86676693125904,23.76042027299587,22.448351178198433,23.482980808973753,23.420047625139947
2021-02-23,24.51652886173167,23.31022914770236,22.30892030588572,24.051869087817924,23.72444777825313,22.832309747239172,23.95130273553184,22.21033557316767,21.979740182401617,21.948667803631327,23.326610476874308,23.41529928619432,22.07772912327383,24.9326733456875,25.445710226602824,25.01883086741771,21.991372540354142,24.059306376429067,20.161396365320552,21.561485732845547,23.605992353908643,22.78298681505016,23.08238517240329,23.999297555600574,22.737599323074548,23.75765854964489,23.642893352656625
2021-02-24,24.707220445131973,23.690775132806305,22.626576619899947,24.416432912630057,24.086283369927106,23.170782100148084,24.30846194479107,22.52487888478423,22.33674276907622,22.241225673237718,23.70643904468435,23.753964089311797,22.459600468890972,25.223711967253408,25.697632366777437,25.46384244313042,22.331505175323464,24.348688318153712,20.36444226608307,21.946524557759684,23.91795781155562,23.183348260265042,23.353325968296986,24.409496784948878,23.144113002440562,24.01153489165456,24.002953923265594
2021-02-25,25.107220445131976,24.098143974016253,23.48714763294194,24.784747408166353,24.57179014494903,23.827202689132445,24.97033418786938,24.85215700957878,23.69577520058145,22.771861790892945,24.246816968422603,24.092195844513043,24.071159929054495,25.560730809033558,26.190471027734453,25.988630948863516,23.52038410816261,24.835829244019948,23.12495340762006,22.421158483007694,24.235407684666235,23.738010017488346,23.83597833533818,24.732648790578864,23.654471826770443,24.391749943683607,24.43777626726381
2021-02-26,25.752247027617923,24.717146768402547,24.180047053254917,25.285228015704725,25.257296919970962,24.599717156854506,25.565786997233324,25.54971312791771,24.283076185011435,23.399681535186133,24.919530934282044,24.569119851540066,24.691350660167295,26.08028970740144,26.990471027734483,26.651623176891206,24.139410191538342,25.59794494389802,23.77272489205067,23.09123613283597,24.667727977364795,24.492671774711646,24.558435264020616,25.63566219520503,24.422598229760084,24.94576564582749,25.027095706698727
2021-02-27,26.502685568659995,25.581250978852854,24.9108480478665,26.278331994015776,25.924420703355803,25.1688132325864,26.460839590115093,26.448271218453264,25.02016013571598,24.12917788267821,25.783165132142138,25.52739133455207,25.44724500415497,27.086269169959895,27.946999594168414,27.546619212832724,24.949457814223837,26.41537105911617,24.527175968710388,23.689264555069542,25.75017881771965,25.03048858247509,25.29201510846247,26.422653196702615,25.05076543124043,25.655287171731963,25.80911838017736
2021-02-28,27.233630194418538,26.14175356010239,25.596764768782,26.88924458151627,26.771763070051705,26.023248243172343,27.11399150908413,27.064137583718463,25.601213218831838,24.879006819324758,26.59997669408036,26.04102017995871,26.121900413518798,27.694012737366617,28.36221865569124,28.321231965347383,25.56272973239582,27.118712676230288,25.19128085722874,24.351522002884998,26.239541435611724,25.8926666280706,26.08408594000361,27.125788826107378,25.844367914790748,26.35784218982822,26.507699173001015
