,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
2021-02-19,13.77397272383488,13.377870381680891,11.979574892493597,13.498634618096158,12.983338426951486,13.25770526372306,13.234758968231096,13.648821689823846,12.967220230060944,12.539248686517402,13.409990731510542,13.406814516193357,13.115893783064491,12.782393896184773,12.176783883508,13.33754704433449,12.87408677892544,13.801842936254424,12.760017242007736,13.094907994833859,13.043754017209254,13.316895617718018,13.023489335823188,13.635458880347615,12.643155546800651,13.315815487208798,13.475323401300074
2021-02-20,14.076712272121643,13.704396880984792,12.279118308674752,13.766951383768058,13.28432575749296,13.64720101245077,13.531409142841241,14.0350713454279,13.273629737658567,12.784099342902861,13.746995609700477,13.628546621679277,13.396858656980823,12.979901836533212,12.403521426150563,13.611607176506983,13.164283663675585,14.156019034867834,13.028546932774198,13.35537196096624,13.26428835503789,13.602763824851655,13.297116480328537,13.947476517791637,12.942246027019763,13.679618621402371,13.784638182361785
2021-02-21,14.451164439639712,13.958340120886067,12.393137334523287,14.023025233201299,13.559594160364284,13.918831719762462,13.817896649118337,14.295495653103458,13.538206603752272,13.001310524743735,13.998852180378138,13.83227260233334,13.650576005019134,13.207809337226957,12.635470241310758,13.938904428765527,13.390049428280753,14.388679709052946,13.245846974381866,13.589526773826982,13.440570712953011,13.920402732110242,13.562364684173282,14.237234898952279,13.206523059842675,14.124337311914829,13.972659660627587
2021-02-22,14.714255274172608,14.16286544890166,12.484819810955239,14.291636312021819,13.77509378872211,14.095859827945656,14.09426828342211,14.538428070855339,13.7193393706833,13.143939990905888,14.219467278556408,14.147153739685661,13.886777526471802,13.505986071319244,12.810755560552204,14.210653114027595,13.563839774876952,14.557432443310704,13.39318474648255,13.76060857405281,13.74836855764304,14.13094894474966,13.714945697708188,14.433115919934457,13.387712894775937,14.453506421969806,14.218208389248101
2021-02-23,14.941424481754508,14.304112684853147,12.500934839585906,14.435817707572532,13.90482156700399,14.22306702622933,14.229651310921598,14.678978844513212,13.877879534345405,13.244283191277976,14.386165946381144,14.27671203450466,14.021421544623328,13.650696229045042,12.911162615944137,14.39506566066474,13.651064413444148,14.665622237153435,13.466813182843776,13.99476338691355,13.895504468456831,14.375590136730063,13.800693300986445,14.560843613178884,13.56006754524843,14.746478666218351,14.343949550093948
2021-02-24,15.06688669601163,14.520622797813953,12.781643898951739,14.591655276484662,14.132860238650817,14.43349607397905,14.424061901564494,14.865783383878837,14.097264103426447,13.44241590044844,14.597371605095308,14.46964171477274,14.251230134192038,13.84299283556077,13.097359967919832,14.690023131816469,13.882509721325848,14.866580192313462,13.62861128165949,14.276299893231009,14.158507995779892,14.602592421451881,13.990236244596892,14.817283921048606,13.82844894416489,14.894756829600913,14.564069533329
2021-02-25,15.280091271508764,14.76445713629984,13.062519014893674,14.849780947020095,14.439800375881289,14.718548041175335,14.67547451376311,15.156781593593834,14.395862343249147,13.637300696149106,14.937612515107611,14.716238364677398,14.541012986057096,14.072925259727768,13.288918863955853,15.032908730752968,14.1582985297499,15.131391126332348,13.846947382780739,14.61045470609175,14.405117315099043,14.894696337039514,14.197665782180982,15.050974648526225,14.09713289647637,15.167118702970207,14.817094351777506
2021-02-26,15.698593677946416,15.18704745540823,13.409639512416978,15.217058163642886,14.815234058447768,15.195935607333803,15.057632999605817,15.573256973830777,14.737882468326829,13.99828593388627,15.319890425881775,15.052334770146768,14.913358722812992,14.381424174995335,13.55509250727945,15.446202683924001,14.518055944187962,15.6201780518257,14.194356776079164,15.14460951895249,14.727659326720632,15.37468751829032,14.656722796197036,15.562651281774826,14.551194682077881,15.62390638623556,15.157240050712144
2021-02-27,16.17052255007323,15.730689578708635,13.939087023973567,15.672748191733032,15.265338917884835,15.642395621876553,15.552728693808634,16.108142152527165,15.200115548236072,14.380086043437284,15.876541041308233,15.561597835172586,15.400295597458202,14.834053079686345,13.896339075346894,15.940856928533023,14.990245060953772,16.18643790733164,14.635720181016485,15.457836399548473,15.207521185944278,15.755235839405382,15.087000161199937,16.04540178833505,14.911651245367121,16.00327865430695,15.67258612783685
2021-02-28,16.61255831003122,16.132924856891762,14.279423524962201,16.098758644720224,15.698398447931412,16.102989088804364,15.962782141718757,16.498633963970246,15.549637261840749,14.832738114444169,16.28394237864858,15.927537427337825,15.801989621612618,15.162388042696389,14.226009300922444,16.447962177057452,15.364494647734414,16.55429248025489,15.024658732924026,15.963073012635043,15.540089804590037,16.236827509161092,15.549604767202714,16.49809022232676,15.35084269925968,16.56004172792584,16.058060448545536
2021-03-01,16.866846094232702,16.43908718191049,14.481755399850277,16.36865557870045,15.950066691720659,16.348685501108058,16.261085161759663,16.773604657278792,15.781566900000554,15.139891244128842,16.597259203939768,16.189045182306867,16.053324970307767,15.386470736752601,14.394845084566493,16.765318049359838,15.62341481853099,16.846249882775282,15.24751927541595,16.228918199774306,15.752844089701524,16.528028184476295,15.821832717235292,16.78404282313464,15.635786088531043,16.85655608399513,16.386283803984675
2021-03-02,17.067656781782695,16.619441337477475,14.719923116520093,16.610873773943574,16.172115605063194,16.501703237784778,16.447927026921885,16.96949249481433,16.07617564569726,15.380667906072581,16.75095433080757,16.44502705185927,16.277683452806688,15.638707564060002,14.685541532059723,17.03184713143801,15.84876497541639,16.97162829087203,15.455366725822556,16.73136411827502,16.051048379121802,17.017734512847316,15.951850449142842,16.954444973730457,15.841452550630379,17.140969589067957,16.592372814273183
2021-03-03,17.288717470874108,16.899541765618434,15.092020877553505,16.93697591529024,16.47759302516243,16.783572226575526,16.696504928947128,17.277280917442717,16.385595621837073,15.714527958725995,17.055409688413828,16.768771124057796,16.58221793806056,15.908332224169197,14.926908946539587,17.378218806661927,16.15425626295881,17.240413386986383,15.718610075696816,17.160282318049198,16.36579902534473,17.38923788118132,16.271496273293973,17.211252386739986,16.14407275377515,17.38063979398187,16.938070220866607
2021-03-04,17.60111135882126,17.28537993494082,15.327012419716532,17.279977153224696,16.806144042142304,17.172554421322804,17.032402256047867,17.686150925253305,16.70059001920198,16.056197253180184,17.414960755051077,17.11059606641524,16.916677676777052,16.197469626140357,15.236680230330322,17.78641626118923,16.46467099158388,17.577068498452515,16.065890760821492,17.69704617741247,16.699405260417695,17.847518988002886,16.677565311691357,17.588161802152463,16.47005053943937,17.684137742735818,17.306655728565485
