,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,8.732170125710922e-16,0.0735424610748231,0.032475531203263165,1.7894772829956557e-18,9.982804638162671e-17,0.0,9.628278111727345e-18,0.16498488649579987,0.11145504986801273,0.01572141578834068,4.066143546905986e-17,0.0,0.02350565605815321,1.5962151993314112e-16,0.043919712549240826,1.094888367008128e-16,0.038528726944589,0.04684457922906159,0.24414680470232203,8.979897394740217e-17,0.005916886883085181,0.0,0.010822866454275543,0.23562253972007907,0.0015067552421355772
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,0.0,0.0,0.0035514248830676347,3.427354756407188e-16,0.0728493407441919,7.00165750362835e-16,0.0,0.0,4.302927372051846e-18,0.0,0.0,0.011735482359335277,1.6401371251871962e-18,9.412784891419063e-17,9.725293487194975e-17,0.009884161670249936,0.03969417249080843,1.5409562189629133e-16,0.0,0.0,0.04038746192025864,0.034126611955033706,0.0,0.0684841127646677,1.7063131738895847e-16
GA,0,0,3.411146190925045e-17,0.01092127340172366,0.060324437380896156,8.249826793212912e-17,0.017510560235551843,2.4009704505760843e-16,2.476325972191764e-16,0.0,0.11541471078016545,0.0,1.290775262359907e-16,4.604806030138985e-17,0.006760178655912863,0.08130077647820713,0.0,1.0762598077257519e-16,0.03954831524672479,0.0,0.12299620263693967,1.3158410272557937e-16,0.03802878284908084,0.0,0.09044401991265205,1.0169670649384532e-16,0.02816447168047986
HI,0,0,1.6771339578766105e-16,0.025356627466705108,0.0018557624709329345,0.042174829458233,0.1304174248514072,1.4702266412130422e-16,0.13391704695776577,0.0,0.18860895852276707,1.7223144432995316e-16,0.0,1.056365700911105e-16,0.06903068814548469,0.0,0.0,0.09499342249350418,0.03862263128732238,0.004617578212505789,0.0,0.0,0.28476433431230236,0.11002353381222148,0.0,2.811883643162973e-17,7.952582793675753e-17
ID,0,0,0.0,0.051625243987407685,0.14728492024499035,0.009182487320451689,0.15414471706900693,0.0,3.3329003191086377e-17,0.11680194501799913,0.0026376285981319853,0.04444207982365599,0.04633342232635359,0.0,0.006710400351917912,0.027784723712155537,0.35591894637329924,0.0248032443841714,0.03914038704095529,0.0,1.5996386615486913e-16,0.04704729267634991,0.04472587393203433,4.6296612269025423e-17,0.03285366375689806,1.1165518020724634e-16,7.878379039454165e-17
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,0.0,7.272286071946521e-17,0.0,2.2609669218946405e-17,0.0,0.061321083605519716,0.05368705394959506,0.0,0.01228297379953075,3.183827442139464e-17,0.059095267111708365,4.094203612538918e-17,0.06701995572816236,0.0,4.016833523787233e-16,0.0,0.03810139476907871,0.05003233397751339,2.1332081075560394e-16,6.109955013301338e-17,0.02049417688888496,0.0,1.9926280677567965e-16,0.033052504736108594,0.10306857905792248
