,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,3.824088668267976e-16,0.046040649193786296,0.06418518761858966,1.406459273631546e-17,9.386030875178825e-17,0.04151420971690613,5.109454550067317e-16,0.0009724841236516037,0.0,0.04613332246119473,0.0,0.0,0.06542280269994968,3.232267984635402e-17,0.048345866872971745,3.810321352790936e-17,0.06816317590492293,0.11937999299009289,0.1381936400514182,1.7713650383660657e-16,0.0,4.633080991412175e-16,2.1798311580108938e-16,0.25390548866137524,6.483383835687764e-17,7.281713543829804e-16,8.773165244908627e-16
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,0.0,0.027791971298366348,0.018956463374468272,0.0,0.0961002477186845,2.220897461313121e-17,0.3861152394604894,0.13539079732288387,0.04960750909843579,1.3539070035763267e-16,0.0,0.057890063682423075,0.003665918688967304,0.005937443892568794,0.0,0.1283491412778125,0.066450144998811,0.0,4.968349561567405e-17,0.0,0.2508740336072532,1.8953898620004455e-16,7.637466855831775e-16,0.0,2.242746713794034e-16,4.172344400428064e-16,2.3914109836461914e-16
GA,0,0,0.0,0.03423518948832937,1.2090209475928981e-16,0.0,0.0,0.03728532530339164,5.127696971585135e-16,0.006930304613773348,0.0,0.02863035493045471,1.2075952966489056e-16,1.6005042472213504e-16,0.040869616690189764,2.3970906613384494e-17,1.6374298835233891e-15,0.0,0.06788725938877109,0.05088384358604509,0.15064678937534934,0.0,0.0,2.2301859346296214e-16,2.8791548720200582e-18,1.1469774782724151e-15,1.1319063726509932e-16,4.005188910024555e-16,7.761084325641657e-17
HI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,0,0,0.0,0.026383688942717712,0.06369049402227632,0.0,0.049732682753074485,0.0,5.050869900059998e-16,0.19933796775124543,0.1719863733229621,0.04620166341265612,0.04805804241859159,0.0020026555648732587,0.04776031589886827,0.16831067396082716,0.14219923218985858,0.0021136188948868593,0.0,5.957618003964686e-16,0.0,0.2535854875078041,1.0597922701623844e-15,2.03163010228299e-16,0.0,2.3901236892442945e-16,9.100688512724619e-17,0.0,0.0
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,0.0,0.016003643373198782,4.762358042642578e-17,2.7042510189693584e-16,7.471747298725285e-17,0.07383615170375643,0.013501016219091538,0.0,9.339091743998415e-16,2.662060190459903e-17,0.02448429180403285,0.014224680314661519,0.016005297223035862,0.0,0.0,0.0,0.06561361276418604,0.0,1.1055568206858595e-16,0.0,1.7876552673463917e-16,1.6452569727196986e-16,0.0,7.745540320236444e-16,0.07293143480213858,0.0,0.0
IA,0,0,0.0,0.020356400990456495,0.0,1.5129746846464616e-18,0.0,0.10572857295144816,4.4073998622506646e-16,0.0,0.0,0.0481039279828834,0.0,1.5487205329213307e-16,0.03071912897977514,6.635971983058703e-18,0.0,0.0,0.06730901681118852,3.6577931981050804e-16,0.0,1.145505224516964e-15,0.0,2.782016725000425e-16,1.4457807513103184e-16,0.13753094113890102,0.00010566235536003272,3.89195384712459e-16,7.139444713344339e-16
KS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0,0,1.7900761022838313e-16,0.02955571471420191,0.0,0.0,0.0,0.00420253893313379,0.0,3.417226771145798e-17,0.0,0.13128835439068684,0.009316538765473958,0.0,0.08433599183670448,5.075088152242096e-16,0.33556249424939755,5.76984542642571e-17,0.06646329192149963,0.1072949472021342,4.1342048020263355e-16,6.048602257198992e-17,0.0,0.0,0.0,1.2532292911759946e-15,0.13170320956853962,4.3081406761453555e-16,0.0
MO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0,0,0.11575876765383346,0.02347960904716495,0.073147810636607,2.326777363864075e-16,0.0,0.078995526531715,0.0,0.04595791320945882,1.396011193833669e-16,4.0278926407905487e-17,0.0,9.695574592461029e-17,0.03970768356832387,0.0,1.3570454048155697e-16,1.6547558116811672e-16,0.06537338792998688,0.033067904149219875,0.0,1.3212722260026244e-16,0.0,1.606538046708519e-16,0.1620092280555826,1.1858461261560205e-15,0.04962617539391679,2.1504758776576404e-16,4.162803951841495e-16
NE,0,0,8.609609311906782e-16,5.129915310581127e-19,1.2427667402115095e-17,0.03627240377091843,0.22740510851545717,0.024801842994157552,2.210944871617878e-16,0.0,3.7144779680356653e-16,0.011114163116274847,0.0,0.04710142016033207,0.02680226359562111,1.865535915867155e-16,1.5392998460922722e-15,0.02934557692379516,0.06498738857198579,9.139637966804406e-16,3.9556679756656095e-16,3.0455462729679684e-17,1.3700205800675178e-16,0.14977777044442522,0.0,6.532318089225164e-17,0.06846446741102942,0.0,0.005155332315819237
NV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,0,0,2.1518100905832662e-16,0.023489753425342014,5.65682483494312e-17,0.0,0.035061928635341764,4.3227649955798533e-17,0.0,4.2739482093201416e-17,0.0,0.007783479828791377,3.3359509499301137e-17,1.521112177868065e-17,0.045477081402892666,9.643128707098094e-17,0.4738924066877713,0.06545240872683145,7.198343169067743e-19,1.4635543482428154e-16,5.3074047216064756e-17,1.3067264954991324e-16,1.2466149255681051e-15,0.0,4.584321140943637e-16,0.0,1.3107381556096858e-17,0.0,0.0
OH,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OK,0,0,0.0,0.03026072264480374,0.0018087163714389871,9.69371452433047e-18,0.0,1.4811483078663027e-17,0.09564999658406563,0.05672679734670312,0.0,5.882048331114354e-17,0.09061779181392983,0.023048183949261402,0.01531613132635454,0.0,0.0,4.328353115121839e-17,0.06596862311723126,1.5234056962958042e-16,4.8869096656254266e-17,0.0,9.07743615061204e-16,5.667306047837968e-18,0.0,8.819984673169579e-16,0.006358248970754704,2.2054518113327381e-16,0.0
OR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0,0,0.0,0.024403012134272574,0.0,0.08634242617518105,0.06016417079591644,1.683917920472968e-17,0.0,0.07017158284995269,0.12916103946946889,1.3691310973455014e-17,0.05632383688921828,0.21445608496384874,0.015282214816995683,0.04987883288797386,0.0,0.028195720961469353,1.793557503244216e-18,0.0,0.0,0.0,0.1533919807303252,6.227166564881405e-17,0.0,0.0,0.0,0.0,0.0
RI,0,0,0.0,0.023387105594167266,3.757031578205394e-16,0.04291614051775191,0.0,0.0,2.5090844188838574e-16,0.13962231437367512,0.1757944788765691,3.8891761703365e-17,0.10388424330265952,0.0,0.04788398280870063,0.0,6.479327708044935e-16,0.057567122372526223,1.3213713977167085e-18,3.1829465278743196e-16,2.2642743628649634e-17,0.0,7.085403938551053e-16,1.4486408539804172e-16,4.832320644203323e-17,8.450813833438264e-16,2.4381430194359312e-17,3.346611447669774e-16,0.0
SC,0,0,5.149358422919978e-16,0.02378480464116405,0.1873993650193024,0.007074095907718901,0.03617404878762307,0.07499810535809008,1.5471056353558835e-16,0.17886740756635863,0.0,2.9064379198784853e-17,0.04000770017465157,0.0,0.028744221435515842,0.0,3.383569561417306e-16,0.1705728594958736,0.0,0.0,2.5382594019357943e-16,0.0129277272718667,8.087660051008421e-16,2.3944364058711494e-16,2.01733735594358e-17,0.0,5.2543863887010385e-18,0.07711714865678602,0.0
SD,0,0,0.0,0.034070273292446704,0.0,1.2783471074985364e-16,0.0,3.8135388438618265e-18,0.0,3.690353144597536e-17,0.0,0.04028190141846862,5.227429621552487e-17,0.0,0.05957072137494935,3.6276360830958434e-17,8.669822672280336e-16,0.12981027631781983,0.06770620201639817,0.12090505864629032,0.1068592565889762,5.115883422111288e-17,0.0,5.131957226828545e-16,4.2787263417320554e-16,8.375461782450522e-16,8.894965865605922e-17,0.0,2.962836949876616e-17
TN,0,0,0.0,0.023401171521973713,0.4119906693437161,0.0,0.0,0.25096383517590476,0.0,1.0554708149146386e-16,4.993908134618361e-16,0.04732305047513213,9.806907091992452e-18,0.0,0.03865077503582714,0.0,0.0,7.928569373083105e-17,0.0666444847087257,1.7141575160174727e-16,0.0,0.0,0.0,1.0155735337216536e-16,0.4679430545161754,0.346176224465624,0.2085312857204569,0.0,0.0
TX,0,0,1.973675225996873e-16,0.03403064027348179,3.587353938211413e-17,0.0,3.40462422930416e-17,0.037456381318043304,0.06990654472293141,0.09791919217585078,0.0,3.918774353761755e-17,1.1370966031620699e-17,1.4278718439403648e-16,0.018328069088101313,0.011512136042519897,5.39295713121446e-16,0.0,0.06762508579011882,0.03516947901520424,0.08994385618630567,0.0,4.882800375996197e-16,3.7265310271457656e-16,0.0,0.2623873457341027,3.710537869130179e-17,0.0,4.842017602703045e-16
UT,0,0,1.1048083896748367e-15,0.03177800866959299,1.261604752958445e-16,0.0,0.0240338195340751,0.005087938604734386,1.1898450660656763e-16,0.0,0.07010705984177333,7.163868492091657e-18,1.331509307484012e-16,5.0618716005307156e-17,0.035697103061068304,1.7346582481583948e-16,3.797960210216722e-16,1.9307229403268528e-17,0.06806297976407845,2.383957289388283e-16,0.0135470740181851,1.309345328807352e-16,8.13849259985532e-16,1.7825524868729476e-16,0.0,4.554733326611604e-16,3.755050070189694e-17,0.0,3.500911942924069e-16
VT,0,0,0.8584147863619436,0.01480495182501585,0.0,0.07727728625442673,0.1831925913883408,0.0,3.9144269853639793e-16,5.637851296924623e-18,2.8244206972219936e-16,9.047520765391904e-17,0.009380292476774578,5.194360459371127e-17,0.03858234379591541,9.212867911718997e-17,0.0,0.20074574709969464,0.06457438243406287,7.241962292434817e-17,0.0,0.33712435000570395,2.5610413567480957e-16,0.3024255095092938,7.636802834705594e-17,0.0,1.3445473131462638e-16,0.7961140894797277,0.707799058086492
VA,0,0,0.0,0.00492854144671249,6.540449605518805e-17,0.1274356386274368,0.13458331390330225,0.2141232485670911,0.43482720301342115,1.2454105597297942e-16,0.0,0.05869668175011316,0.0,0.27263263368675117,0.002611335341629568,0.138173770702095,1.865948222985167e-16,0.0,0.06698304747281528,0.0,2.1666836146585976e-16,0.0,0.12079900503126612,5.595086425447413e-17,0.0,0.0,1.2834260118339291e-17,1.080187585191121e-16,0.0
