,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,3.649878718817845e-16,0.018493063694996776,0.1020591668103903,1.0587049793537149e-16,0.0,8.56812048910693e-17,0.0,0.042584510422918886,0.03712652795841656,0.030396425813219375,6.371048385092562e-17,0.0,0.049194043543424694,0.0,0.14764828332948085,0.0,0.551713085283077,0.12811995794848513,0.19640909867794082,2.0924189651239417e-16,4.595657742641786e-16,6.963467415629711e-16,0.02671965098038123,0.24596432797748943,1.733579762306179e-16,2.6273204262992757e-16,0.0
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,0.0,0.0,0.023558922437030068,0.0,4.105965644054836e-16,0.001843389673521924,0.3897272834788287,0.046873770660531854,0.07003686024272325,1.9515659316592583e-16,1.0130208936015787e-16,6.724997176563103e-16,0.07401825288453147,1.372642963238785e-16,0.0,3.5729719407325703e-16,1.3297739645534712e-16,0.0,4.2514150633645754e-16,0.010017531317516227,1.3161193966357084e-16,2.281860489757236e-16,1.911990531178187e-16,0.0,0.0,0.0,8.408932371742034e-16
GA,0,0,3.9814049348228596e-16,1.2392092018330414e-16,0.0413283160559436,0.0,0.0,0.0,0.033351343809188146,0.04148224015338804,0.20289207636755033,0.008192324210627284,0.0,0.0,0.07148401908827133,2.3455434572531546e-17,0.0,1.4389766188313265e-17,0.03171982344261853,2.3847704410176473e-16,0.07349941194188499,0.0,7.529129675973512e-17,0.0,2.1038200880183665e-16,0.0,0.002263233276075977,2.8730801096802753e-16,0.0
HI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,0,0,0.0,0.1730622985970305,4.136485397916376e-18,0.0,0.0,4.020872185626828e-17,0.0,0.0425790217738,0.09363457597748184,0.04991227569318941,0.0643630964840113,0.05555731203874566,0.016993137523272805,0.055615338215990906,0.0,0.0020685524842089568,7.690246009439683e-16,6.686816898804349e-17,0.0,0.0,2.0731640198726697e-17,5.096322064570396e-16,4.0489530131471163e-16,0.0,0.0,0.0,0.0
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,0.0,5.112550564993275e-16,8.333957168035061e-18,8.943192771752549e-17,0.0,0.01836670620115358,2.8842011743434393e-17,0.042579936147872435,1.0920816806558425e-16,2.7402855275184897e-17,0.025857285484961207,1.1071831904648273e-16,0.050279903212254014,0.0,2.867497905789662e-15,2.7071834920081147e-16,0.0,0.00629568129728528,0.0,0.017442532629028368,7.34629550467468e-17,0.0,0.0,0.0,0.1787757437017106,1.9404018457796448e-16,0.0
IA,0,0,9.947510008041436e-16,1.0947415708638743e-15,0.0,0.03488445070493877,5.586608736757466e-16,0.21270954235530193,0.0,0.040376234037911046,0.0,0.043181253120457404,1.948350578811262e-17,3.3136177102996066e-17,0.044543694128701586,0.0,1.4481688417888883e-15,1.7631444295202372e-16,0.0,0.05792394328255972,0.0,0.0,0.012017155799483537,0.0,4.352527437357753e-16,0.0,0.1339029749371393,0.0,0.0
KS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0,0,0.0,0.037685816942255555,0.0,0.0,0.0,0.0,0.0,0.04364196211770747,0.004362210136190039,0.04122262683925749,0.018174969868344056,0.0,0.06915067493732988,8.079071885829144e-18,0.0,2.1636179068795778e-17,0.0,0.0,5.738194774882537e-17,2.1544632468390435e-17,3.813980779901271e-17,2.3665930103902025e-16,0.12446151189454115,0.3912241633715382,2.036562895718483e-17,0.0,0.0
MO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0,0,3.74868038659782e-16,1.143895546832946e-16,0.16545544242687107,0.0,6.707236901840151e-16,0.19589237203582022,0.0,0.0447314269733588,0.0,4.626252775147095e-17,1.4555210277654831e-16,0.0,1.6601775138695813e-17,0.0,0.0,0.035085831119009994,0.0,5.270645573630939e-16,0.0,0.0,0.07190190878515118,5.535300097182412e-16,0.4839015713940924,0.1655090058985806,2.0189428374302657e-17,3.1383687382549026e-17,9.06774991074033e-16
NE,0,0,0.11380073194290623,2.1435472908175507e-16,2.6761158935552365e-17,0.12917267648928807,0.30817496636685693,0.08929495211378301,8.748320145522952e-17,0.04794311192024687,0.0,2.5772706882943814e-17,4.9110106664371085e-17,0.02725969688467841,0.04871977486278517,0.09698787002669736,1.5206477570195442e-14,6.022481438586031e-17,3.479346884125492e-17,0.04618538613290659,0.0,0.3685417446614905,2.7779941590167e-17,0.08206520759892207,1.3351949754158987e-16,0.0,0.15625377747542918,0.11496069272774855,0.0
NV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,0,0,0.0,0.0,0.0,2.5294733210556524e-16,0.0,0.0,1.5983532473480964e-16,0.042553412411863646,0.1249465659038276,2.0622751695894407e-17,6.959312112764375e-17,6.996775222764208e-17,0.0,3.0400250444106444e-17,0.0,0.026934129773043793,0.0,0.03547269970089406,0.0,0.0,2.3122640602365635e-18,0.0,0.005783378089430265,0.0,5.3769072912264475e-17,3.457070491602017e-17,0.0
OH,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OK,0,0,0.0,0.0,0.016314184661433376,1.146170186279566e-16,1.5270094123547335e-16,2.8574949542652446e-17,6.207854898521853e-17,0.04366117031689423,0.015513324445531,0.0,0.04503289183908569,2.2113155965733524e-16,0.07611172540757277,9.449175317217664e-18,0.0,1.4244035518306518e-17,0.0,5.352164024474693e-16,1.3082889738463659e-16,5.843376547284545e-18,8.098073027181311e-17,0.0,0.0,8.890457814381136e-18,1.2657489569767796e-16,0.0,1.2611520789275008e-15
OR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0,0,1.240135240952634e-16,8.361909255294453e-17,0.012121445313593028,0.1494788535923304,0.0,4.606670964468712e-18,0.022739242613367492,0.043480968695044496,0.0,0.0017200981388857894,0.049080320370727015,0.09115012376544852,0.020863630530300912,0.04018565872934101,0.0,0.04176993842162398,0.0,1.8839367999651246e-16,3.8180306559019127e-16,3.342719374370471e-17,0.013693538222087036,0.0,0.0,0.0,4.125597158362043e-18,3.1915957479488424e-17,0.0
RI,0,0,6.107654071540079e-16,0.03590650143896193,0.0,0.0,0.0,4.1348971727529e-17,9.813664587098723e-17,0.045808086376581146,0.021358438791127587,3.9146234068461775e-18,0.13981471909770501,9.425114646965957e-17,0.020172480795782852,0.0,0.0,2.3798513470329225e-17,1.6177598940003334e-16,1.7149563926111148e-17,1.2402446996110598e-16,0.0,5.47919312486631e-17,7.703023266871893e-17,0.0,1.717376241217039e-16,0.0,0.0,0.0
SC,0,0,4.2582492785428195e-16,0.12521873356680155,0.0009364838498338204,4.3506627356253156e-16,0.0,7.771055325057484e-17,1.1450848466185937e-16,0.04471130310192006,8.792879618857441e-17,4.57789014736788e-18,3.480615975776491e-17,0.0,0.0,0.029888599338865795,0.0,0.06949266908549802,0.0,0.0,0.0,0.0,1.2873670437692095e-17,0.0,1.486929069455245e-15,1.5764299587939234e-16,0.04854034370133235,1.2418100430179481e-16,0.0
SD,0,0,8.70037942921198e-17,0.003916151019742891,0.013009595645036563,0.0,7.317405954223641e-17,0.0,3.470725445851497e-18,0.04365476656718181,0.12699180932001614,0.004974252353150644,3.467889301688375e-17,0.0,0.06420304777104663,0.0,0.0,1.205415738995962e-16,0.05355362120854007,0.07952699840693032,0.11098817181142442,0.0,8.09608186361589e-18,9.101904743400853e-17,0.0,3.178880769727499e-16,5.0125497450708184e-17,7.119909437049017e-17,6.977092988390194e-16
TN,0,0,3.073350135892401e-16,3.6138491288015273e-16,0.2804222343052951,4.4714460705573835e-17,3.9307916423489966e-16,0.18941418267614052,0.0,0.04147949583233843,1.2587587222556706e-16,0.03922622503277084,4.104785968652588e-17,9.459695754859899e-17,2.040371236882361e-18,0.0,6.548581121812447e-17,0.06657515230545208,0.0,0.04896034888743488,5.74178859229983e-16,2.8229765366470027e-18,6.7206292089698e-17,4.1394968508726745e-16,0.002782183123923879,0.197302502752392,0.17252526895782774,0.0,0.0
TX,0,0,0.0,0.0,0.023055837999412264,1.9406827266587465e-16,0.0,0.0,0.12281005422165299,0.043649278910722476,0.04371076331256683,0.00586045913544963,1.993053123208801e-17,0.0,0.06989809173913221,0.0,0.0,1.1033462753641146e-17,0.16780167658049963,0.004665376896615077,0.11616868138506811,1.2987615786036434e-16,7.095595173126486e-17,4.4889782621704705e-17,5.2475385148298415e-17,0.0,0.0,0.0,8.122443761797741e-17
UT,0,0,1.7674696225153447e-16,0.013546135753892536,0.05949601173520811,0.0,0.0,0.0375996537683225,0.07910377301775731,0.03967152792175716,0.07777602455552902,8.589853391395015e-18,1.0414444949528788e-16,1.9694124420020516e-18,0.0802374241454207,6.478131212904226e-18,0.0,3.7655212744203907e-16,0.05327749160616297,0.0,8.421625078075881e-17,0.036475590555487006,0.03319818529315493,0.0,7.486644379986651e-17,2.5175174445113413e-16,0.01024033503680234,0.00039033080312150754,0.0
VT,0,0,0.736661842337422,1.9532918576863068e-16,4.598909111021514e-17,0.16145315121228843,9.06749084951599e-16,0.0,1.8463328977080707e-16,0.047941284369709285,1.1180834903756764e-17,2.924897515821131e-17,0.031471587595680105,0.045760765880806686,0.051498132732124856,0.11756520786169383,5.179559038615e-15,0.09597156851779137,0.0,0.0,0.0,0.0809149146298793,0.014416825880188411,0.21382990197206853,0.0,1.1666015375944028e-16,3.2454711973733717e-16,0.8704865421309776,0.5276971580885924
VA,0,0,0.0,1.6971538966982593e-16,2.5433858307204876e-17,0.2899922116028531,0.41689141811134406,0.06074200170240089,0.16294453506175144,0.03538753469189138,0.0,0.10574776698583323,6.724480302677918e-17,0.2190843159337948,0.07580077255830493,0.05040855263915951,5.119602658476552e-15,0.21771675592765974,0.14193430187910516,0.05765062925930655,4.3413181957206375e-18,0.20224434609376654,0.4091696036974323,1.5735891774308185e-16,0.0,2.3136874360840665e-16,0.0834064892168856,0.0,0.0
WA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
