,18+,12-17,OH,NY,KY,MO,NV,OR,CA,CT,WA,MN,NM,CO,KS,AR,WV,HI,DE,IL,MI,AK,AL,NC,NJ,MA,ME,MD,LA
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,5.4739187114638306e-17,0.0,0.1360353832404694,0.0018500190614619807,0.0,0.03028433402937857,0.009000242828659483,0.0,0.0,2.6465057993613975e-16,1.199527305267642e-17,5.480869098018278e-16,0.11035938744295358,0.010538778582858845,0.14237438212047418,3.023342360461485e-18,1.988763865958788e-16,0.025678897605325542,6.693918061567334e-17,0.6466517834226395,4.0095997978467264e-16,0.0,7.232055798982487e-17,7.194551925622715e-16,0.0,2.042665395079997e-19,0.08957970421552455
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,7.668843824283356e-17,3.4492745631617515e-18,0.04579755246927524,0.17896985809232246,0.3122159273522669,0.0,0.018229921436334576,0.009012541011396827,0.0,0.0,0.0,0.17732763755006795,1.1770469265404909e-17,0.17774696610376314,1.4158031305391502e-16,0.0006380008284947382,0.09129461007108551,0.04524108768796285,0.0,0.0,0.0,0.0,0.048804464872198826,3.019905569665258e-15,7.258368319855755e-16,2.2358909902484167e-16,0.0
GA,0,0,2.2289765413363623e-16,0.0,0.0,0.1286381816521921,0.09944114397560222,0.0709903642123707,0.028186394791418407,4.73813518563693e-16,9.734654573694853e-17,7.1566186515276e-17,0.0,0.0,3.664085473803732e-18,0.0,0.0,2.0931657778121925e-18,0.0,0.04207545776395575,7.805391901340245e-17,0.0,0.0,0.0010778983271920659,0.015934562363219492,0.0,1.3962971768002728e-15,1.0858645416941632e-16,1.983846030159664e-15
HI,0,0,1.343559554734856e-16,0.08087930716178915,0.0,2.6416780123480924e-17,3.5101113633990244e-16,8.243099795449021e-17,0.29072082301448277,0.27334918462079105,0.13204438557600456,0.01930393338082841,0.057329787641630645,7.420877148334707e-17,0.0,0.0,0.0,0.0,0.031055479373431522,0.03748830879210004,0.008069311926100659,1.5406512871019018e-15,0.0,0.0,0.09509806305821078,0.0,0.0,0.2618269012387293,0.0
ID,0,0,1.3851141619213325e-16,0.08376096085076304,3.3800188440367206e-18,0.06195571755544385,0.23944395201897356,0.0,0.03954819381496926,2.8862120722750863e-17,0.08585888064942106,0.0,0.07884443144073222,0.0,0.035128796657904984,0.05162533062954529,0.0,0.10445069573998911,0.00195445165956026,0.042491005443650164,0.14835261743794825,0.0,3.606354104629398e-16,0.0,0.03481968426825535,0.0,0.0,1.3769945011060685e-16,3.5080852068755664e-15
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,0.08477272762117499,0.0,0.0,2.276497195958555e-17,6.064192520857654e-16,0.028907654492137398,0.015769288857046974,2.3018190106362375e-16,2.9513608144708794e-16,0.0,3.3463689669206544e-17,0.0,0.043341809652705184,0.0,4.805114015888709e-16,0.03030940622808577,1.7732565220577337e-17,0.025899785980440584,3.184402276194311e-17,0.0,9.985438616058541e-18,1.0000621936586382e-15,1.0643864870718058e-17,6.672499671629372e-16,6.702101975724783e-17,4.1962565128677545e-17,9.577028840107582e-16
IA,0,0,0.08293332891307956,1.741063328142782e-18,0.09359415746546425,2.099733402602891e-18,6.443986698552529e-16,0.08619933318617687,0.007827359099166088,0.0,1.4305904855968737e-17,0.031401285789236226,0.0017054150043730907,3.343694839649116e-16,0.08343261360171732,0.00013165119873877272,2.708211824811274e-17,6.581883497573843e-17,0.0,0.0203653751524252,0.0,1.5604379767497623e-16,2.3524290473907905e-16,0.22291395167089803,2.5956795186545123e-17,0.0,0.0,1.878452511414882e-16,0.0
KS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0,0,4.401355460430651e-17,7.062499715635911e-18,4.2531010562405537e-16,4.297478710846393e-18,0.13284570535061996,0.0,0.04806347514798524,0.35130217015881365,0.2302396657317444,0.07061596585703316,4.150869491920356e-18,0.0,0.0,1.0445610305540032e-17,0.0,0.0,0.0018467370794832433,0.03616423561899292,5.1250198269688555e-17,2.208790875896094e-16,0.0,0.0,0.161862393693601,0.0,0.0,0.4801757789713101,0.0
MD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0,0,5.886975761763033e-17,1.4612179665116355e-18,1.63121614567343e-16,3.8960411937524766e-17,0.0,0.039807600154157706,0.012897530413048286,0.0,0.0,0.0,0.0,5.50387173315225e-16,0.08759578981207691,0.03552104754441438,4.3156341897496403e-17,1.618031997355176e-17,2.745665459536356e-17,0.04080082059821659,0.0,8.023096076392733e-18,1.4176560893135405e-15,7.153227139725555e-16,3.979924583668325e-17,1.053121654218832e-15,0.0,9.749354072586084e-17,0.5953524415370022
MO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0,0,0.08212389642541099,0.0,0.081554237429691,9.446059018350642e-17,2.3765804797465717e-16,0.06488637739224808,0.0036715897395257144,3.8262786730445855e-16,1.5151331938615064e-16,8.153706684970928e-17,0.0007865180572522369,0.0,0.0,0.055735182248359855,0.016880435098261898,1.3125483844386891e-17,0.006065348464349083,2.439454888092385e-18,5.196306665691482e-17,1.3306413262914596e-15,0.0,6.709504684516807e-16,1.2362621706959426e-17,2.152290390182443e-15,0.0,1.807143451404922e-18,6.258692565944135e-16
NE,0,0,0.039668542763949724,2.9826125157246544e-18,0.0,6.05469597338384e-17,9.997946145341538e-16,0.08520095494726913,0.01821177940671931,0.020875457129751113,0.06982944701440716,0.11945183166325195,0.0,0.0,0.08122515243153255,9.554531645028508e-19,1.4091915089902384e-16,0.0778365087126971,0.008171615061084176,0.02618307107211602,0.0,0.0,1.3271046270232008e-15,0.1580454953939701,9.99867245439432e-17,0.30076466514534994,0.12216929707633925,1.557069980957173e-17,0.0
NV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,0,0,1.194743734703349e-16,0.08381023061192874,4.4053817203822714e-16,0.15991358434446815,0.0,3.9848162456004846e-17,0.06020610132031632,3.4398896631451007e-16,1.6562502614845514e-16,0.0,0.0989449256726561,2.7209406651289757e-16,0.0367907018090914,0.14022369864095943,0.0,0.1704719487870217,0.053365404447579624,0.024054770655141906,7.702719587210942e-18,5.757113535898029e-16,8.509942040575495e-16,0.0,0.0,0.0,0.0,4.2679439237369778e-16,0.2966952547695659
OH,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OK,0,0,1.94383613644485e-17,0.0,5.5278674089369515e-17,0.12636189010043067,0.0,0.0,0.014789434783700303,0.0,0.0,1.5446311304665998e-17,0.0,6.077281525322776e-17,3.036209201945168e-18,0.06998816379405648,5.094635700611741e-16,1.8748678607799138e-17,0.0,0.045938591141242,0.04437706450131981,1.5829351718288365e-17,0.0,3.9110257756525745e-16,0.0,4.09761903096345e-16,3.254466808005943e-16,1.6810991822471044e-16,1.428205969287999e-15
OR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0,0,3.155364469418318e-17,0.08321658391446689,0.0,1.4886608183201126e-17,0.0,0.0,0.031037422407712796,0.043230389771789744,0.0475343243417582,0.026194620863990735,0.09642484769453127,0.11023683480970443,0.04279134032298829,0.0036044380884778047,1.6994748616213094e-16,0.09037313927266752,0.0005190075397154431,0.04524160100434978,0.06637306595461172,1.0115606269289756e-16,0.0,0.0,2.6793972368961205e-17,0.0,0.0,0.0,3.834416508266547e-16
RI,0,0,0.0,0.08395485226407685,0.0,4.3387755907028834e-17,0.0,5.947119785737516e-17,0.023695299137471607,0.0,0.0,0.0,0.0770841925336489,3.421797794528099e-16,5.9692462465426845e-18,0.0009374142274404284,0.004692448327612663,0.05058922646223096,0.10150769592633065,0.04444175893472537,0.24784743711123577,0.0,0.0,0.0,2.353669330792549e-17,1.2103082196633844e-15,0.0,0.0,4.25454485010468e-16
SC,0,0,0.015055447237405291,0.08095185626674226,0.0,1.5247522155112074e-17,0.059799928183187204,0.0,0.023766066438435297,0.1164344469251206,0.0,0.0,0.08466159680845098,3.3093581438890473e-16,0.004334312858235428,2.939543140151324e-17,2.8800617072682687e-16,0.13419900967289816,0.2652196511716388,0.0,0.05540443809557723,0.0,1.7268206046952893e-15,0.0,0.09250904512233672,0.0,0.0,1.5032067608215118e-17,0.0
SD,0,0,4.23646440025189e-17,0.0,0.0,0.10486353760541098,0.0,0.024668707559692502,0.009641608101920005,0.0,0.0,2.930579679079934e-16,6.0845146310350365e-18,1.0881511554093085e-16,0.05865058895273253,0.04902187342041772,0.0,2.509354166496807e-18,0.06567017488008137,0.03705802605760151,0.03524049038354013,0.15826875679015834,1.1274648787336367e-15,7.254435796188335e-16,3.3764944768271112e-18,8.349618925237302e-16,0.0,9.979847040368243e-17,3.180059839590077e-15
TN,0,0,0.2967912757868651,1.7278116060945502e-18,0.09109387585965759,2.8855094511233034e-17,6.041953853154249e-17,0.08603680338480513,0.008191118783760018,2.5166457393754655e-16,1.70721942835471e-16,0.0117366987391877,0.001531237104060136,0.0,0.09965687826166011,0.08121180363534752,0.0,0.0,0.05909086137432528,2.1788237070993653e-17,4.787535558708295e-17,1.2357194260903537e-16,0.9999999999999992,0.13218339450974262,1.2289153910951698e-16,8.620549384038408e-16,0.0,0.0,0.0
TX,0,0,3.336890643144783e-17,0.0,0.10284600829682636,0.1774574786211481,0.0,0.009208483046593422,0.01097314694997211,0.0,2.307881603667087e-16,0.0,0.0,1.1085588066252061e-16,0.03428896300543422,0.014432844272083564,0.04292736508920298,1.584539415386931e-17,0.0,0.04092027883545797,0.0,0.19507945978720037,1.7188733263690918e-16,1.3296222432646118e-16,3.390909648433932e-18,1.3527703029044965e-15,1.51097015998131e-16,1.6065116118131592e-16,2.213358077547689e-15
UT,0,0,1.475504912537258e-16,0.000258330503202429,0.0,0.053061844245863986,0.14111562818534126,0.0,0.03443791347937287,2.3039820995631785e-17,1.8460574757177121e-16,0.0,1.7063452155527429e-18,0.0,5.1396388433719326e-17,0.050288033480799396,0.0,2.2617003248208637e-17,1.73974320189109e-16,0.044880378612443206,1.11475013335817e-16,1.1836777218110495e-15,9.416194533141599e-16,0.0,0.048178470466046716,0.0,0.0,0.0,0.0
VT,0,0,1.3144910119276499e-17,1.801923254022113e-18,5.567099433328148e-17,9.971550566099792e-17,1.547178889729839e-15,0.0847904780304626,0.010333492036450424,3.3108645876168956e-17,0.15315484690116196,0.058331199694678586,0.0,0.0,0.05502274000804393,6.326997302810722e-17,0.0,0.025767151568193737,0.06231356755756626,0.02885540106249966,0.09066790661502268,0.0,0.0,0.011501460180469436,9.187168321104093e-17,0.6992353348546518,0.842551111019933,7.122966665895429e-17,0.0
