,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,6.359932156476419e-17,0.1081779238803305,0.0366375655633415,1.0953431669822489e-16,1.72817545227186e-16,2.0106232781773491e-16,3.0138374433347455e-16,0.08537765345398814,0.0,0.01958104510952701,0.0,1.3532697769937278e-16,0.060281365306561425,1.1504184496638896e-16,0.13035661575731222,1.701036318210239e-19,5.0621918724610755e-17,0.05165984715884763,0.0,0.0,0.0,6.620854765822283e-16,3.8708757736545877e-16,0.260197692186351,0.026242532969177272,3.9967738728135487e-16,0.0
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,0.049069233449045103,0.006946417991112127,5.59787134181422e-17,1.529147742465123e-16,0.12604617760857084,0.0,0.1478437273511429,0.02439557571024212,0.0025536583657445374,0.01982608262563697,3.0536901506003177e-16,1.5122505914907566e-16,0.059613352075225876,0.0,0.0,0.02092537800573886,0.16354443997038637,0.0,1.9976965611865568e-15,0.0,0.11599443723641716,1.7004396967111305e-15,8.287848857196381e-17,4.336808689942018e-17,0.0,0.0,0.10086922663806915
GA,0,0,5.83257639786944e-17,0.1041684901811569,3.5622817629726855e-17,4.481855495719659e-17,0.09734012326067125,0.0,0.0,0.03343260660395348,0.214788787787197,0.0008477287352317291,0.0,0.0,0.061029246471408984,0.06510952457279667,0.0,0.033917726527751144,0.016585783868294957,4.160625836913123e-17,0.5007815728485887,0.1283773017951082,3.0779132375238017e-16,0.0,0.0,3.9020436187753305e-16,6.385007559414952e-18,0.0,5.618011180418316e-17
HI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,0,0,0.0,0.133982244203118,0.13434421099727334,5.3658295488883115e-17,0.0625915072387656,0.0,6.85219901040736e-17,0.028699186640980378,0.0829022118918226,0.021348216373734595,0.04514677906354693,0.09062147606113222,0.0,0.2033656692475393,0.0,0.08647258575808978,0.0,7.6873999787369085e-16,1.939572584583138e-15,0.0,0.07756583250632648,9.797080169567543e-16,5.956820862746269e-16,1.745565497701662e-17,2.7516709874300037e-17,0.0,4.949829132402762e-16
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,0.0,1.5462156386973908e-15,0.0,2.6457593467803702e-17,0.0,0.02005416057276525,0.006006291571774649,0.0007294054391576663,6.2827203921439135e-16,0.034629811628480806,0.061118392331122595,0.0,0.05894264860140488,0.0,7.236236349711378e-16,0.011203098903525029,2.6948383537754567e-16,0.0,0.0,8.868970671043737e-18,0.0,0.0,6.111872743753038e-18,0.0,0.06457516713960774,9.502628451928997e-17,0.0
IA,0,0,1.3039464858993638e-15,0.0,1.2393786084224923e-17,0.0659591859968636,0.01574941376003596,0.12419004462477637,0.0,0.06469371671949056,0.0,0.03532755058300655,1.2123887623609867e-16,2.8957515002913224e-17,0.059683702381337696,6.741327288741767e-17,3.48245737802344e-16,0.0,0.0,0.0,9.019586665113865e-16,0.0,5.718849527736672e-16,1.9171216771330026e-15,3.0489513199996126e-16,0.0,0.03081740820044651,5.580847436746208e-17,0.0
KS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0,0,0.0,0.11263037723434362,0.12033036808096167,7.209838966766463e-17,1.0200123741321803e-16,0.0,0.0,0.08038163724397628,0.0,0.02541345644391699,0.0,0.0,0.06007262277503983,0.03158925182915699,0.0,0.0,0.0,0.06344404300552937,0.0,2.696795542429368e-16,1.0278502954702539e-16,0.0,0.40591733617630743,0.41824418144380204,0.023905268437290086,0.0,7.212829665841228e-16
MO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0,0,0.0,3.149211625685533e-16,0.16523093315361823,9.898891598958304e-17,3.790496177085996e-17,0.1384521775957802,0.0,0.06699603497380945,0.0,0.01422379356357374,0.0,0.043705656622594936,0.05652085347027069,0.0,9.32847549206528e-16,0.0,0.04835798939393914,0.08570015374515741,1.0171020866745258e-15,0.0,0.0,0.0,0.4564946946300339,0.00017227265231022104,0.08086630194769183,0.0,0.0
NE,0,0,0.31524716747483766,0.0,0.0,0.10942091970573081,0.0,0.0,4.449965207421777e-17,0.02410237000717225,5.41753817104743e-17,0.03825003475236807,0.0,0.04163485740362372,0.05707244812387682,0.0,1.4360799875656749e-15,0.056245381907398403,0.0,9.953246993960052e-16,0.0,0.0,1.5140319233368376e-16,0.16183981016525242,0.0,2.959871930885427e-17,0.029414907284197753,0.19551762133049871,0.02902504908596925
NV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,0,0,3.9338418043636697e-16,6.373568089903167e-16,0.15564527462355845,2.361667182873249e-17,0.0,0.0,0.036637022780253756,0.055068131179409036,0.0076803063988368295,0.02369259487861333,0.0,0.24310971552780947,1.0842021724855044e-18,5.3060101820354144e-17,7.064119254829304e-16,0.04737299369238734,5.089534462087943e-16,3.850544015582269e-16,5.43092773599369e-16,0.0,0.0,1.2372872908079278e-15,0.0,0.0,1.007106121142363e-16,6.915673822010994e-16,6.634282948043415e-16
OH,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OK,0,0,8.909618722457975e-16,0.0,0.0,0.0,2.790920483356507e-17,0.0,0.019554121269143476,1.7429601543700386e-17,0.0,0.02440861066689417,0.07130640433359257,0.0,0.06038515371977654,0.0,0.0,0.00888166620404367,0.0,0.0,0.0,2.0634465751715833e-16,0.0,0.0,0.0,0.0,0.035683874086695405,2.2914908463496285e-17,2.3914262090216963e-16
OR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0,0,0.0,1.465798540258114e-16,0.0,0.04762024060932735,0.2820279639246075,7.307787851835258e-17,0.21100139271697346,0.01899963983643249,0.09487521117601248,0.033136995530927325,0.039272498829680993,0.10108161931649182,3.4389537658524594e-19,0.0,4.509467885910334e-16,0.08565345692976234,0.0,0.0,0.0,3.5791283820435326e-16,0.0,0.0,4.97041218350986e-17,2.246466901389965e-16,8.771095155365991e-18,4.900552783797063e-16,0.09461695939187129
RI,0,0,0.0,0.0020835829249755892,3.561604136614882e-17,7.602247268309439e-17,0.0,0.0,0.0,0.04386701315529201,4.3147134733179176e-17,0.025622494418413796,0.060333855223714254,0.07943032807930137,4.860212939189045e-19,0.0,1.2032204659701007e-15,0.03571059249268018,0.0,0.0,0.0,0.0,0.0,0.0,1.2396436953433358e-16,0.0,0.03772069032159188,0.0,0.0
SC,0,0,0.10981653773007805,0.0,1.0660417860963722e-16,9.209643709333167e-17,0.21395308821206815,0.06173391262562209,0.0745324483013701,0.012370893640936813,4.407845522767144e-17,0.029153640917908535,0.060280559242366485,0.0,9.883875639868122e-19,0.0,0.0,0.10453394009862056,0.0,5.389704524697003e-16,1.2495991433278724e-15,2.5332031104801425e-17,0.037983246397295396,0.0794396386281833,0.0,1.9613217300262775e-16,0.017458872190760512,0.02309290255569756,0.0
SD,0,0,0.0,0.06919205356808697,0.020938967175970442,0.0,0.0,5.174920627212804e-17,0.0,0.050018659959966405,0.0,0.00694665313321082,0.0,0.0,0.0600612425781888,0.0,0.0,0.0,0.0,0.0019558993648792194,0.037395080071932416,2.0495929267625853e-16,0.0,0.0,2.784983952403305e-17,0.0,6.888187907363862e-18,1.5292948398026534e-16,0.0
TN,0,0,0.0,1.06847953875805e-15,0.33509343199904806,2.4908898351364625e-17,1.5082326902973092e-16,0.3676182592928508,0.0,0.05574553294110251,1.0419304019180193e-16,0.002228118036572551,0.0,0.0,0.0545008713778414,2.0472053385408793e-17,5.723774319094099e-16,0.0,0.31057044576905435,8.338399267242284e-16,7.140030913873619e-16,8.427236758577684e-17,0.0,0.0,0.0,0.32138585371753636,0.09708752160952189,4.853336182492072e-16,0.0
TX,0,0,0.0,0.0,0.006714705873275446,3.478105399634759e-17,0.14766794451108425,2.925945599816107e-17,0.09668066620451678,0.0,0.0,0.01955669547941013,0.0,2.240729444017019e-17,0.06022267745061884,0.0,2.990229591715021e-16,4.80745055704598e-17,0.0,0.0013998796006643643,5.325115491032617e-16,0.0,0.0,8.951148982666596e-16,1.8235507733027117e-16,0.0,0.03912411669435559,0.0,2.5092266810396626e-16
UT,0,0,1.8095487404402465e-15,0.08880109708496695,2.3730475050276478e-17,0.010068865860172398,4.539855031704794e-17,0.03577469607693341,0.0,0.06714499926971496,0.029639714874139755,0.024039789623713483,0.0,0.0,0.06156447008869875,3.5849100243263165e-17,0.0,0.016291059894595096,0.4609413409983255,0.0,5.134777795332012e-16,9.564805147060896e-17,0.0,1.1431512993028726e-15,0.0,6.286204196070955e-16,0.0,8.092701825363547e-16,0.0
VT,0,0,0.5258670613460472,5.851109369141963e-16,2.5139937874507634e-18,0.16308582120743925,0.026873498608813353,0.0,0.0308891975876382,0.05242687801620719,0.0,0.03752757460325858,3.287661542130641e-17,4.873722736992068e-17,0.05701655709209189,0.13974177417703668,1.8287509093856125e-15,0.14581574402855554,3.8123826357978603e-16,0.0,0.0,1.833468108853372e-17,4.642911912078884e-17,0.5012122699853595,4.614443595637652e-16,3.7177292494527947e-16,1.6043876163284643e-17,0.5551607603222664,0.28972526771244445
VA,0,0,1.0052940474542282e-15,8.787351076618394e-16,3.559571257541472e-17,0.17216096618676996,3.007412525539891e-17,0.21634468678524327,0.10677722279523313,0.017128943017644054,0.0,0.03563316554349891,0.0,0.12898599306668537,0.061631411343749026,0.03971176863051921,9.867866072876819e-16,2.317370422646077e-17,0.0,0.0,0.0,1.2397271823564307e-16,3.3113171566607747e-16,0.0,5.178360418473894e-16,2.0274580625478933e-17,2.3346163920602566e-17,0.0,0.0
WA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
